VOCs,NM1,NM2,NM3,NM4,AM1,AM2,AM3,AM4,NMP1,NMP2,NMP3,NMP4,AMP1,AMP2,AMP3,AMP4
3-Octen-2-one,68991.36575,56784.07507,93186.38331,75575.51786,107057.0096,79076.46274,59342.4651,64629.16434,178907.896,144534.154,196559.1403,185574.0655,114457.6573,124966.9747,138855.8988,125416.2109
Benzeneacetaldehyde,554904.1493,1351215.446,1046794.615,545490.5614,427707.6685,318273.6662,377870.3799,489403.9129,1776456.916,880800.6074,3156334.75,2418140.353,1685282.472,2191906.719,1765273.544,1908915.528
(+)-3-Carene,67450.72182,85907.02189,121295.7492,117219.3923,70425.76594,119107.1806,81583.99402,62337.60377,304272.8583,414904.9242,281241.5088,411688.3003,146032.6197,99941.77823,157909.4313,167658.1588
"Undecane, 5-methyl-",271812.6207,278171.2009,314667.1652,241761.0608,294878.6211,289664.4822,271970.7594,246574.9647,304013.6967,233386.1671,273343.1395,246364.4256,289283.315,201652.3442,261565.0839,239739.122
"2-Octenal, (E)-",217638.6705,197560.4895,244036.6166,263663.7396,217522.7322,215254.1046,198888.2934,235680.447,235999.7596,253627.3654,237155.1461,327423.944,224055.6081,278681.257,267335.2116,218080.9769
Acetophenone,64692.26934,84351.80454,103426.4547,123800.2025,85732.70649,110406.0428,148816.7008,103671.3158,1632151.59,1042569.086,1781768.564,1350660.839,200813.2265,355943.1016,431901.5144,1768611.577
"3,5-Octadien-2-one",3221056.219,1281111.767,3349423.289,3028940.315,4370771.586,4305944.231,2984639.935,3131519.836,1759493.519,2632121.543,1571694.259,2034281.776,2496059.798,1803584.234,3512243.554,2185293.685
Hexanoic acid,285892.4287,701606.3731,456974.7141,710118.8591,691049.4964,792831.6499,863131.8819,682369.1325,877680.4954,557512.5506,1144504.632,636438.163,1123068.426,2427847.27,1278401.598,1200815.295
"3,5-Octadien-2-one, (E,E)-",1630391.565,659465.1576,1969226.573,1419638.131,2163634.859,2025330.646,1188502.219,1621991.563,1005913.326,1389188.001,971986.1174,1119054.441,1336709.653,1344791.163,2183275.106,1343158.97
"Benzoic acid, methyl ester",63497.0253,186189.3548,90075.41237,84010.01604,44200.09206,116020.5848,196917.195,116902.9196,667848.2638,324148.5672,834897.5855,880156.9884,971214.8652,1988865.046,594736.3938,1496341.627
"Heptanoic acid, ethyl ester",9464803.223,9124887.905,5673337.642,6035094.243,2936651.7,3848817.856,4561125.179,3413074.737,1646805.235,656801.8647,1790290.868,1222630.472,1634982.377,3689386.654,976948.118,1601971.935
Linalool,225377.6848,439523.8624,668863.9658,1124519.859,635822.2386,988971.526,511220.7362,474336.5984,6002531.057,5426096.718,6184165.947,7436587.515,2310126.77,1727926.92,2303933.493,3182772.425
"Ethanone, 1-(2-methyl-1-cyclopenten-1-yl)-",38351.07589,314200.723,294983.0424,120460.9659,27855.01296,75782.2244,61538.81063,57155.46946,937737.8874,441341.8838,840383.9281,1551433.07,1157805.716,1765985.755,1062607.094,1516807.306
Nonanal,112747.2622,160851.6828,136659.2312,145754.6738,476769.9269,124879.1748,163862.3094,131246.1779,116388.1156,123004.6944,124106.6909,176777.4931,163836.1826,187225.0279,140703.9668,171281.5216
